"","scale","Proposed.Management.Action","average_cost"
"1","Scale 1","A",NA
"2","Scale 1","B",15150
"3","Scale 1","C",NA
"4","Scale 1","D",439000
"5","Scale 1","E",NA
"6","Scale 1","F",46435.2307692308
"7","Scale 1","G",10520
"8","Scale 1","H",NA
"9","Scale 1","I",NA
"10","Scale 1","J",11775
"11","Scale 1","K",NA
"12","Scale 1","L",10221.4285714286
"13","Scale 1","M",6500
"14","Scale 1","N",2200
"15","Scale 1","O",19666.6666666667
"16","Scale 1","P",28750
"17","Scale 1","Q",41579.1304347826
"18","Scale 1","R",50000
"19","Scale 1","S",297408
"20","Scale 1","T",NA
"21","Scale 2","A",NA
"22","Scale 2","B",NA
"23","Scale 2","C",NA
"24","Scale 2","D",70000
"25","Scale 2","E",4856.5
"26","Scale 2","F",NA
"27","Scale 2","G",NA
"28","Scale 2","H",2400
"29","Scale 2","I",NA
"30","Scale 2","J",950
"31","Scale 2","K",NA
"32","Scale 2","L",NA
"33","Scale 2","M",NA
"34","Scale 2","N",NA
"35","Scale 2","O",NA
"36","Scale 2","P",5e+05
"37","Scale 2","Q",NA
"38","Scale 2","R",NA
"39","Scale 2","S",NA
"40","Scale 2","T",NA
"41","Scale 3","A",2000
"42","Scale 3","B",70854.6666666667
"43","Scale 3","C",NA
"44","Scale 3","D",5e+05
"45","Scale 3","E",41879
"46","Scale 3","F",34457.1428571429
"47","Scale 3","G",81800
"48","Scale 3","H",NA
"49","Scale 3","I",NA
"50","Scale 3","J",17745.5
"51","Scale 3","K",1000
"52","Scale 3","L",4506.59090909091
"53","Scale 3","M",NA
"54","Scale 3","N",4506.25
"55","Scale 3","O",11500
"56","Scale 3","P",32330
"57","Scale 3","Q",4666.66666666667
"58","Scale 3","R",NA
"59","Scale 3","S",NA
"60","Scale 3","T",NA
"61","Scale 4","A",NA
"62","Scale 4","B",40666.6666666667
"63","Scale 4","C",NA
"64","Scale 4","D",4926500
"65","Scale 4","E",30842
"66","Scale 4","F",134650
"67","Scale 4","G",85894.6842105263
"68","Scale 4","H",13387.5
"69","Scale 4","I",1000
"70","Scale 4","J",46810.985
"71","Scale 4","K",160000
"72","Scale 4","L",14041.6666666667
"73","Scale 4","M",NA
"74","Scale 4","N",212500
"75","Scale 4","O",30663.2284615385
"76","Scale 4","P",81400
"77","Scale 4","Q",72440
"78","Scale 4","R",NA
"79","Scale 4","S",NA
"80","Scale 4","T",NA
"81","Scale 5","A",50450
"82","Scale 5","B",NA
"83","Scale 5","C",NA
"84","Scale 5","D",40666.6666666667
"85","Scale 5","E",87382.5
"86","Scale 5","F",25000
"87","Scale 5","G",27100
"88","Scale 5","H",12000
"89","Scale 5","I",NA
"90","Scale 5","J",6277.77777777778
"91","Scale 5","K",NA
"92","Scale 5","L",55127.7777777778
"93","Scale 5","M",20000
"94","Scale 5","N",24863.6363636364
"95","Scale 5","O",25237.5
"96","Scale 5","P",NA
"97","Scale 5","Q",14006
"98","Scale 5","R",120000
"99","Scale 5","S",NA
"100","Scale 5","T",NA
